N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
1,0,25812.160428245323,2.098,164.882,7.53,29.4132,35.1992,7.6200004,29.4132,35.19917
1,1,25812.160428245323,2.098,164.882,11.5,29.2513,35.2195,11.59,29.2513,35.219486
1,2,25812.160428245323,2.098,164.882,16.6,29.0904,35.237,16.69,29.0904,35.236977
1,3,25812.160428245323,2.098,164.882,21.91,29.0562,35.2369,22.0,29.0562,35.23687
1,4,25812.160428245323,2.098,164.882,26.5,29.0319,35.2387,26.59,29.0319,35.23867
1,5,25812.160428245323,2.098,164.882,31.54,28.9989,35.2448,31.630001,28.9989,35.24479
1,6,25812.160428245323,2.098,164.882,36.51,28.957,35.249,36.6,28.957,35.24897
1,7,25812.160428245323,2.098,164.882,41.5,28.925,35.2613,41.59,28.925,35.261265
1,8,25812.160428245323,2.098,164.882,46.43,28.8928,35.2754,46.52,28.8928,35.275368
1,9,25812.160428245323,2.098,164.882,51.36,28.7963,35.292,51.45,28.7963,35.291965
1,10,25812.160428245323,2.098,164.882,56.89,28.6573,35.3288,56.98,28.6573,35.328785
1,11,25812.160428245323,2.098,164.882,61.49,28.585,35.3049,61.58,28.585,35.304886
1,12,25812.160428245323,2.098,164.882,66.8,28.5765,35.3022,66.89,28.5765,35.30217
1,13,25812.160428245323,2.098,164.882,71.53,28.5843,35.3101,71.619995,28.5843,35.310074
1,14,25812.160428245323,2.098,164.882,76.61,28.5836,35.3125,76.7,28.5836,35.312473
1,15,25812.160428245323,2.098,164.882,81.49,28.5805,35.3134,81.579994,28.5805,35.31337
1,16,25812.160428245323,2.098,164.882,86.82,28.5753,35.3133,86.909996,28.5753,35.313286
1,17,25812.160428245323,2.098,164.882,91.33,28.5649,35.3098,91.42,28.5649,35.30978
1,18,25812.160428245323,2.098,164.882,96.42,28.5301,35.3111,96.509995,28.5301,35.31107
1,19,25812.160428245323,2.098,164.882,101.38,28.4569,35.2984,101.46999,28.4569,35.29839
1,20,25812.160428245323,2.098,164.882,111.34,28.3692,35.3417,111.42999,28.3692,35.34168
1,21,25812.160428245323,2.098,164.882,119.88,28.3529,35.3487,119.96999,28.3529,35.348667
1,22,25812.160428245323,2.098,164.882,131.92,27.9776,35.2972,132.01,27.9776,35.29717
1,23,25812.160428245323,2.098,164.882,141.98,25.3217,34.8319,142.06999,25.3217,34.831886
1,24,25812.160428245323,2.098,164.882,151.6,23.6742,35.0477,151.69,23.6742,35.047676
1,25,25812.160428245323,2.098,164.882,161.94,19.6282,34.8434,162.03,19.6282,34.84337
1,26,25812.160428245323,2.098,164.882,171.87,17.9966,34.7477,171.95999,17.9966,34.74768
1,27,25812.160428245323,2.098,164.882,181.91,16.0458,34.6988,182.0,16.0458,34.698765
1,28,25812.160428245323,2.098,164.882,191.81,14.7822,34.6577,191.9,14.7822,34.65766
1,29,25812.160428245323,2.098,164.882,201.64,12.7012,34.5464,201.73,12.7012,34.546364
1,30,25812.160428245323,2.098,164.882,211.59,11.6654,34.5099,211.68,11.6654,34.509865
1,31,25812.160428245323,2.098,164.882,221.73,11.3545,34.5715,221.81999,11.3545,34.571453
1,32,25812.160428245323,2.098,164.882,231.2,11.4122,34.6847,231.29,11.4122,34.684654
1,33,25812.160428245323,2.098,164.882,241.54,11.4258,34.7363,241.62999,11.4258,34.736263
1,34,25812.160428245323,2.098,164.882,251.76,11.4819,34.7751,251.84999,11.4819,34.775063
1,35,25812.160428245323,2.098,164.882,261.2,11.5461,34.8183,261.29,11.5461,34.81826
1,36,25812.160428245323,2.098,164.882,271.65,11.534,34.823,271.74,11.534,34.82296
1,37,25812.160428245323,2.098,164.882,281.37,11.4607,34.8156,281.46,11.4607,34.815567
1,38,25812.160428245323,2.098,164.882,291.7,11.2575,34.7982,291.79,11.2575,34.798157
1,39,25812.160428245323,2.098,164.882,301.55,11.1759,34.7905,301.63998,11.1759,34.790462
1,40,25812.160428245323,2.098,164.882,311.24,11.1576,34.7922,311.33,11.1576,34.79215
1,41,25812.160428245323,2.098,164.882,321.9,11.1481,34.7931,321.99,11.1481,34.79306
1,42,25812.160428245323,2.098,164.882,331.81,11.0246,34.7791,331.9,11.0246,34.779068
1,43,25812.160428245323,2.098,164.882,341.6,10.837,34.7659,341.69,10.837,34.76586
1,44,25812.160428245323,2.098,164.882,351.73,10.7574,34.7585,351.82,10.7574,34.758457
1,45,25812.160428245323,2.098,164.882,361.66,10.5289,34.7405,361.75,10.5289,34.740456
1,46,25812.160428245323,2.098,164.882,381.52,10.072,34.7089,381.61,10.072,34.70886
1,47,25812.160428245323,2.098,164.882,401.79,9.7756,34.691,401.88,9.7756,34.69096
1,48,25812.160428245323,2.098,164.882,451.15,9.1206,34.6449,451.24,9.1206,34.644867
1,49,25812.160428245323,2.098,164.882,501.87,8.8584,34.6292,501.96,8.8584,34.629158
1,50,25812.160428245323,2.098,164.882,551.74,8.0968,34.5819,551.83,8.0968,34.58186
1,51,25812.160428245323,2.098,164.882,601.85,7.3341,34.5636,601.94,7.3341,34.563553
1,52,25812.160428245323,2.098,164.882,651.11,6.8182,34.545,651.2,6.8182,34.544956
1,53,25812.160428245323,2.098,164.882,701.23,6.3558,34.5356,701.32,6.3558,34.535557
1,54,25812.160428245323,2.098,164.882,751.77,5.8425,34.534,751.86005,5.8425,34.53395
1,55,25812.160428245323,2.098,164.882,801.78,5.3895,34.5335,801.87006,5.3895,34.53345
1,56,25812.160428245323,2.098,164.882,851.65,5.0906,34.5389,851.74005,5.0906,34.538853
1,57,25812.160428245323,2.098,164.882,901.48,4.8812,34.54,901.57,4.8812,34.539967
1,58,25812.160428245323,2.098,164.882,951.87,4.7258,34.5448,951.96,4.7258,34.544758
1,59,25812.160428245323,2.098,164.882,999.84,4.5598,34.5539,999.93005,4.5598,34.553864
1,60,25812.160428245323,2.098,164.882,1099.88,4.1763,34.5594,1099.97,4.1763,34.55935
1,61,25812.160428245323,2.098,164.882,1200.28,3.8386,34.5709,1200.37,3.8386,34.570858
1,62,25812.160428245323,2.098,164.882,1299.62,3.5788,34.5788,1299.71,3.5788,34.57876
1,63,25812.160428245323,2.098,164.882,1399.92,3.3381,34.5874,1400.01,3.3381,34.58735
1,64,25812.160428245323,2.098,164.882,1500.18,3.0749,34.5978,1500.27,3.0749,34.597755
1,65,25812.160428245323,2.098,164.882,1599.23,2.9348,34.6033,1599.32,2.9348,34.603256
1,66,25812.160428245323,2.098,164.882,1697.55,2.8552,34.6071,1697.64,2.8552,34.607056
1,67,25812.160428245323,2.098,164.882,,,,,,
1,68,25812.160428245323,2.098,164.882,,,,,,
1,69,25812.160428245323,2.098,164.882,,,,,,
1,70,25812.160428245323,2.098,164.882,,,,,,
1,71,25812.160428245323,2.098,164.882,,,,,,
1,72,25812.160428245323,2.098,164.882,,,,,,
1,73,25812.160428245323,2.098,164.882,,,,,,
1,74,25812.160428245323,2.098,164.882,,,,,,
1,75,25812.160428245323,2.098,164.882,,,,,,
1,76,25812.160428245323,2.098,164.882,,,,,,
1,77,25812.160428245323,2.098,164.882,,,,,,
1,78,25812.160428245323,2.098,164.882,,,,,,
1,79,25812.160428245323,2.098,164.882,,,,,,
1,80,25812.160428245323,2.098,164.882,,,,,,
1,81,25812.160428245323,2.098,164.882,,,,,,
1,82,25812.160428245323,2.098,164.882,,,,,,
1,83,25812.160428245323,2.098,164.882,,,,,,
1,84,25812.160428245323,2.098,164.882,,,,,,
1,85,25812.160428245323,2.098,164.882,,,,,,
1,86,25812.160428245323,2.098,164.882,,,,,,
1,87,25812.160428245323,2.098,164.882,,,,,,
1,88,25812.160428245323,2.098,164.882,,,,,,
1,89,25812.160428245323,2.098,164.882,,,,,,
1,90,25812.160428245323,2.098,164.882,,,,,,
1,91,25812.160428245323,2.098,164.882,,,,,,
1,92,25812.160428245323,2.098,164.882,,,,,,
1,93,25812.160428245323,2.098,164.882,,,,,,
1,94,25812.160428245323,2.098,164.882,,,,,,
1,95,25812.160428245323,2.098,164.882,,,,,,
1,96,25812.160428245323,2.098,164.882,,,,,,
1,97,25812.160428245323,2.098,164.882,,,,,,
1,98,25812.160428245323,2.098,164.882,,,,,,
1,99,25812.160428245323,2.098,164.882,,,,,,
1,100,25812.160428245323,2.098,164.882,,,,,,
1,101,25812.160428245323,2.098,164.882,,,,,,
1,102,25812.160428245323,2.098,164.882,,,,,,
1,103,25812.160428245323,2.098,164.882,,,,,,
1,104,25812.160428245323,2.098,164.882,,,,,,
1,105,25812.160428245323,2.098,164.882,,,,,,
1,106,25812.160428245323,2.098,164.882,,,,,,
1,107,25812.160428245323,2.098,164.882,,,,,,
1,108,25812.160428245323,2.098,164.882,,,,,,
1,109,25812.160428245323,2.098,164.882,,,,,,
1,110,25812.160428245323,2.098,164.882,,,,,,
1,111,25812.160428245323,2.098,164.882,,,,,,
1,112,25812.160428245323,2.098,164.882,,,,,,
1,113,25812.160428245323,2.098,164.882,,,,,,
1,114,25812.160428245323,2.098,164.882,,,,,,
1,115,25812.160428245323,2.098,164.882,,,,,,
1,116,25812.160428245323,2.098,164.882,,,,,,
1,117,25812.160428245323,2.098,164.882,,,,,,
1,118,25812.160428245323,2.098,164.882,,,,,,
1,119,25812.160428245323,2.098,164.882,,,,,,
1,120,25812.160428245323,2.098,164.882,,,,,,
1,121,25812.160428245323,2.098,164.882,,,,,,
1,122,25812.160428245323,2.098,164.882,,,,,,
1,123,25812.160428245323,2.098,164.882,,,,,,
1,124,25812.160428245323,2.098,164.882,,,,,,
1,125,25812.160428245323,2.098,164.882,,,,,,
1,126,25812.160428245323,2.098,164.882,,,,,,
1,127,25812.160428245323,2.098,164.882,,,,,,
1,128,25812.160428245323,2.098,164.882,,,,,,
1,129,25812.160428245323,2.098,164.882,,,,,,
1,130,25812.160428245323,2.098,164.882,,,,,,
1,131,25812.160428245323,2.098,164.882,,,,,,
1,132,25812.160428245323,2.098,164.882,,,,,,
1,133,25812.160428245323,2.098,164.882,,,,,,
1,134,25812.160428245323,2.098,164.882,,,,,,
1,135,25812.160428245323,2.098,164.882,,,,,,
1,136,25812.160428245323,2.098,164.882,,,,,,
1,137,25812.160428245323,2.098,164.882,,,,,,
1,138,25812.160428245323,2.098,164.882,,,,,,
1,139,25812.160428245323,2.098,164.882,,,,,,
1,140,25812.160428245323,2.098,164.882,,,,,,
1,141,25812.160428245323,2.098,164.882,,,,,,
1,142,25812.160428245323,2.098,164.882,,,,,,
1,143,25812.160428245323,2.098,164.882,,,,,,
1,144,25812.160428245323,2.098,164.882,,,,,,
1,145,25812.160428245323,2.098,164.882,,,,,,
1,146,25812.160428245323,2.098,164.882,,,,,,
1,147,25812.160428245323,2.098,164.882,,,,,,
1,148,25812.160428245323,2.098,164.882,,,,,,
1,149,25812.160428245323,2.098,164.882,,,,,,
1,150,25812.160428245323,2.098,164.882,,,,,,
1,151,25812.160428245323,2.098,164.882,,,,,,
1,152,25812.160428245323,2.098,164.882,,,,,,
1,153,25812.160428245323,2.098,164.882,,,,,,
1,154,25812.160428245323,2.098,164.882,,,,,,
1,155,25812.160428245323,2.098,164.882,,,,,,
1,156,25812.160428245323,2.098,164.882,,,,,,
1,157,25812.160428245323,2.098,164.882,,,,,,
1,158,25812.160428245323,2.098,164.882,,,,,,
1,159,25812.160428245323,2.098,164.882,,,,,,
1,160,25812.160428245323,2.098,164.882,,,,,,
1,161,25812.160428245323,2.098,164.882,,,,,,
1,162,25812.160428245323,2.098,164.882,,,,,,
1,163,25812.160428245323,2.098,164.882,,,,,,
1,164,25812.160428245323,2.098,164.882,,,,,,
1,165,25812.160428245323,2.098,164.882,,,,,,
1,166,25812.160428245323,2.098,164.882,,,,,,
1,167,25812.160428245323,2.098,164.882,,,,,,
1,168,25812.160428245323,2.098,164.882,,,,,,
1,169,25812.160428245323,2.098,164.882,,,,,,
1,170,25812.160428245323,2.098,164.882,,,,,,
1,171,25812.160428245323,2.098,164.882,,,,,,
1,172,25812.160428245323,2.098,164.882,,,,,,
1,173,25812.160428245323,2.098,164.882,,,,,,
1,174,25812.160428245323,2.098,164.882,,,,,,
1,175,25812.160428245323,2.098,164.882,,,,,,
1,176,25812.160428245323,2.098,164.882,,,,,,
1,177,25812.160428245323,2.098,164.882,,,,,,
1,178,25812.160428245323,2.098,164.882,,,,,,
1,179,25812.160428245323,2.098,164.882,,,,,,
1,180,25812.160428245323,2.098,164.882,,,,,,
1,181,25812.160428245323,2.098,164.882,,,,,,
1,182,25812.160428245323,2.098,164.882,,,,,,
1,183,25812.160428245323,2.098,164.882,,,,,,
1,184,25812.160428245323,2.098,164.882,,,,,,
1,185,25812.160428245323,2.098,164.882,,,,,,
1,186,25812.160428245323,2.098,164.882,,,,,,
1,187,25812.160428245323,2.098,164.882,,,,,,
1,188,25812.160428245323,2.098,164.882,,,,,,
1,189,25812.160428245323,2.098,164.882,,,,,,
1,190,25812.160428245323,2.098,164.882,,,,,,
1,191,25812.160428245323,2.098,164.882,,,,,,
1,192,25812.160428245323,2.098,164.882,,,,,,
1,193,25812.160428245323,2.098,164.882,,,,,,
1,194,25812.160428245323,2.098,164.882,,,,,,
1,195,25812.160428245323,2.098,164.882,,,,,,
1,196,25812.160428245323,2.098,164.882,,,,,,
1,197,25812.160428245323,2.098,164.882,,,,,,
1,198,25812.160428245323,2.098,164.882,,,,,,
1,199,25812.160428245323,2.098,164.882,,,,,,
1,200,25812.160428245323,2.098,164.882,,,,,,
1,201,25812.160428245323,2.098,164.882,,,,,,
1,202,25812.160428245323,2.098,164.882,,,,,,
1,203,25812.160428245323,2.098,164.882,,,,,,
1,204,25812.160428245323,2.098,164.882,,,,,,
1,205,25812.160428245323,2.098,164.882,,,,,,
1,206,25812.160428245323,2.098,164.882,,,,,,
1,207,25812.160428245323,2.098,164.882,,,,,,
1,208,25812.160428245323,2.098,164.882,,,,,,
1,209,25812.160428245323,2.098,164.882,,,,,,
1,210,25812.160428245323,2.098,164.882,,,,,,
1,211,25812.160428245323,2.098,164.882,,,,,,
1,212,25812.160428245323,2.098,164.882,,,,,,
1,213,25812.160428245323,2.098,164.882,,,,,,
1,214,25812.160428245323,2.098,164.882,,,,,,
1,215,25812.160428245323,2.098,164.882,,,,,,
1,216,25812.160428245323,2.098,164.882,,,,,,
